"Population","Lat","Long","Elev","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD.0","DD.5","NFFD","bFFP","eFFP","FFP","PAS","EMT","Eref","CMD","CMI","cmiJJA","Tave_wt","Tave_sm","PPT_wt","PPT_sm","Tmin01","Tmax07"
"Chilliwack",49.39234,-121.75221,155,8.98,17.4,0.2,17.2,2009,467,9.5,37.3,172,1909,270,107,300,193,159,-22.6,675,99,147,-2,1.5,16.6,731,232,-2.7,23.2
"Columbia",46.10763,-122.9206,17,10.76,18,3.9,14.1,1183,230,17.5,78.4,34,2261,300,103,310,207,30,-16.8,832,346,48,-19,4.7,17,484,109,0.3,24.6
"Dean",52.81705,-126.75791,1340,1.69,11,-7.6,18.6,2117,468,5.5,23.5,941,669,128,175,247,72,1200,-37.2,455,47,180,2,-6.7,10,780,221,-11.1,17.1
"Harrison",50.27599,-122.82176,746,5.28,15.6,-4.5,20.1,1710,336,8.9,46.4,524,1324,181,151,266,115,641,-31.5,619,199,122,-11,-3.7,14.6,702,170,-7,22.7
"Homathko",51.12257,-124.89797,407,5.81,14.7,-2.9,17.6,2158,393,7.3,37.4,397,1332,195,135,269,134,603,-30,610,142,168,-5,-2.4,13.9,809,204,-5.9,21.4
"Kitimat",54.14684,-128.59521,68,6.63,16,-2.7,18.7,2238,485,7.4,33,333,1508,228,127,288,161,488,-27.3,524,64,183,2,-1.7,15.1,828,229,-5.3,21
"Klinaklini",51.40053,-125.64632,693,4.94,14,-3.4,17.4,1385,272,10.8,51.5,437,1130,182,147,268,121,452,-30.6,560,191,96,-9,-2.9,12.9,529,142,-6.8,19.8
"Nisqually",47.07829,-122.6224,122,10.31,17.8,3.7,14.1,1058,204,19.2,87.3,38,2126,295,106,306,200,32,-16.8,793,353,39,-19,4.4,16.8,434,102,0.3,24.4
"Nooksack",48.81539,-122.16737,107,9.93,17.5,2.2,15.3,1522,348,13.1,50.2,77,2060,291,100,304,204,60,-18.9,731,190,91,-9,3.4,16.7,568,175,-0.7,23.7
"Olympic_Penninsula",47.61864,-122.87705,61,10.67,18,3.9,14.1,1284,202,16.1,89.1,33,2233,306,93,314,221,36,-15.8,771,340,63,-19,4.6,17.2,556,94,0.8,24.3
"Puyallup",47.09211,-122.17154,183,9.96,17.4,3.3,14.1,1095,247,18.3,70.4,45,2019,286,111,302,191,37,-18,782,301,44,-16,4,16.5,416,125,-0.2,24
"Salmon",50.22351,-125.89641,419,8.01,16.2,1.1,15.1,2000,399,9,40.6,124,1619,262,121,297,176,191,-20,624,100,151,-2,1.5,15.1,816,209,-1.2,21.4
"Skagit",48.50026,-122.10008,41,9.72,17,2.6,14.4,1078,276,18.3,61.7,65,1974,285,107,302,195,40,-19.2,738,246,47,-13,3.5,16.2,378,139,-0.8,23.2
"Skwawka",50.23214,-123.97606,577,6.47,15.8,-1.8,17.6,2784,612,5.9,25.8,275,1414,217,140,283,143,564,-26.1,594,17,232,7,-1.1,14.7,982,317,-4.5,21.7
"Skykomish",47.82407,-121.86413,217,10.13,17.4,3.5,13.9,1638,384,12.3,45.4,42,2073,289,107,303,196,50,-17.8,776,179,97,-10,4.1,16.6,604,186,-0.1,24
"Squamish",50.01452,-123.15819,725,5.43,14.9,-3.4,18.3,1927,377,8,39.5,364,1252,194,152,281,129,579,-29.9,569,124,150,-5,-2.1,13.7,752,183,-7.2,20.7
"Tahoe",39.17982,-120.3038,2425,5.01,14.3,-1.9,16.2,1638,170,9.2,83.9,340,1133,150,172,263,91,645,-32.7,707,389,104,-24,-1.8,12.7,763,72,-7.6,21.8
"Vancouver I. East",49.72732,-125.07083,58,9.13,17,2.4,14.6,1421,244,13.4,69.8,72,1824,284,106,302,196,78,-18.2,657,231,90,-11,2.9,16.1,578,128,-0.3,22.5
"Willamette",44.74226,-123.0509,60,11.29,18.9,4.3,14.6,1094,184,19.5,102.9,27,2437,302,103,308,205,24,-16,920,461,29,-27,5.1,18,463,80,0.7,27
