"Population","Lat","Long","Elev","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD.0","DD.5","NFFD","bFFP","eFFP","FFP","PAS","EMT","Eref","CMD","CMI","cmiJJA","Tave_wt","Tave_sm","PPT_wt","PPT_sm","Tmin01","Tmax07"
"Chilliwack",49.39234,-121.75221,155,12.67,22.3,3.9,18.4,1997,391,11.4,57.1,34,2960,327,64,326,262,42,-14.7,766,200,127,-15,4.9,21.2,741,178,1.1,27.8
"Columbia",46.10763,-122.92057,17,13.82,21.8,6.7,15.1,1127,166,21.1,131.2,6,3305,341,52,337,285,9,-10.6,922,473,24,-29,7.4,20.7,475,70,3.2,28.3
"Dean",52.81705,-126.75791,1340,5.28,14.9,-3.5,18.4,2196,439,7,34,440,1229,187,146,271,125,689,-30.6,554,117,172,-7,-2.9,13.8,813,190,-6.8,20.9
"Harrison",50.27599,-122.82176,746,9.03,20.3,-0.6,20.9,1729,290,11,69.9,247,2137,244,124,287,163,260,-23.6,739,298,104,-23,-0.1,19.2,716,136,-3,27.2
"Homathko",51.12257,-124.89797,407,9.51,19.2,1.1,18.1,2211,344,8.8,55.8,123,2151,261,108,293,185,207,-21.5,723,238,155,-16,1.2,18.2,834,165,-1.8,25.7
"Kitimat",54.14684,-128.59521,68,10.28,19.6,1.6,18,2368,474,8.6,41.4,102,2285,296,93,313,220,137,-18.8,614,114,181,-5,2.3,18.8,886,210,-0.8,24.6
"Klinaklini",51.40053,-125.64632,693,8.53,18.2,0.5,17.7,1415,239,13.1,76.2,155,1858,248,121,292,171,157,-22.9,666,271,82,-18,0.7,17,545,114,-2.7,24
"Nisqually",47.07829,-122.6224,122,13.57,22.1,6.6,15.5,1021,150,23.1,147.5,6,3215,340,54,335,281,10,-10,886,480,16,-30,7.2,20.9,433,65,3.3,28.4
"Nooksack",48.81539,-122.16737,107,13.47,22.3,5.7,16.6,1490,278,15.8,80.3,11,3191,341,47,333,286,16,-11,826,314,67,-23,6.7,21.2,573,125,2.9,28.3
"Olympic_Penninsula",47.61864,-122.87705,61,13.94,22.4,7,15.4,1259,153,19,146.3,5,3348,346,41,340,299,11,-8.7,860,454,42,-29,7.5,21.3,556,61,3.9,28.4
"Puyallup",47.09211,-122.17154,183,13.28,21.9,6.4,15.5,1046,180,22.3,121.7,7,3113,335,61,331,270,11,-11,878,437,19,-28,6.9,20.7,415,79,2.9,28.2
"Salmon",50.22351,-125.89641,419,11.38,20.4,4.5,15.9,2012,332,10.6,61.5,23,2476,323,75,325,250,54,-12.2,702,200,136,-14,4.7,19,838,154,2.3,25.4
"Skagit",48.50026,-122.10008,41,13.24,21.8,6,15.8,1042,215,22.3,101.2,9,3099,337,56,331,275,11,-11.7,834,376,23,-25,6.7,20.7,381,96,2.6,27.7
"Skwawka",50.23214,-123.97606,577,10.13,20.5,2,18.5,2792,519,7.2,39.5,86,2228,286,108,308,200,160,-18.3,714,124,215,-8,2.4,19.1,1001,243,-0.6,26.1
"Skykomish",47.82407,-121.86413,217,13.57,22.2,6.7,15.5,1577,290,15,76.5,6,3221,338,56,332,276,14,-10.4,875,326,70,-25,7.2,21,606,122,3.2,28.5
"Squamish",50.01452,-123.15819,725,9.12,19.7,0.4,19.3,1935,319,9.9,61.7,163,2006,258,125,301,176,180,-23.4,692,224,134,-17,1.4,18.3,765,141,-3.3,25.2
"Tahoe",39.17982,-120.30382,2425,8.62,19.3,1.1,18.2,1470,122,12.7,158.5,125,1899,208,145,291,146,211,-27,929,522,61,-36,1.2,17.2,707,53,-4.7,26.2
"Vancouver I. East",49.72732,-125.07083,58,12.51,21.2,5.7,15.5,1426,198,15.8,107.3,11,2841,336,55,330,275,21,-10.4,739,336,74,-21,6.1,20.2,587,91,3.1,26.7
"Willamette",44.74226,-123.0509,60,14.3,22.6,7,15.6,1030,133,23.6,169.6,5,3480,342,53,335,282,7,-9.8,1015,587,3,-37,7.8,21.6,444,54,3.4,30.5
